,year,nationality,gender,passed,subj_code,subj_name,number
0,2022,NATA,GESW,PRUEFBESTN,SF181,Wirtschaftspädagogik,1
1,2021,NATA,GESW,PRUEFBESTJ,SF042,Wirtschaftsrecht,193
2,2021,NATD,GESW,PRUEFBESTJ,SF294,Materialwissenschaften,81
3,2021,NATA,GESW,PRUEFBESTN,SF008,Anglistik/Englisch,6
4,2022,NATA,GESM,PRUEFBESTN,SF255,Archivwesen,0
5,2021,NATD,GESW,PRUEFBESTJ,SF304,Medienwirtschaft/Medienmanagement,1766
6,2022,NATA,GESM,PRUEFBESTN,SF015,Außereurop. Sprachen und Kult. in Ozeanien und Am.,0
7,2021,NATD,GESW,PRUEFBESTJ,SF054,Film und Fernsehen,175
8,2019,NATA,GESW,PRUEFBESTJ,SF277,Wirtschaftsinformatik,403
9,2021,NATA,GESW,PRUEFBESTJ,SF282,Biotechnologie,213
10,2019,NATD,GESW,PRUEFBESTJ,SF143,Augenoptik,98
11,2022,NATD,GESW,PRUEFBESTN,SF073,Judaistik/Hebräisch,0
12,2021,NATA,GESW,PRUEFBESTJ,SF188,Allgemeine Literaturwissenschaft,67
13,2019,NATA,GESM,PRUEFBESTJ,SF075,Holzwirtschaft,2
14,2021,NATD,GESW,PRUEFBESTJ,SF544,"Ev. Religionspädagogik, kirchliche Bildungsarbeit",121
15,2021,NATD,GESM,PRUEFBESTJ,SF222,Kommunikations- und Informationstechnik,550
16,2019,NATA,GESW,PRUEFBESTJ,SF131,Portugiesisch,2
17,2022,NATA,GESW,PRUEFBESTJ,SF371,Tierproduktion,3
18,2022,NATD,GESM,PRUEFBESTN,SF027,Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190),0
19,2022,NATD,GESM,PRUEFBESTN,SF361,Schulpädagogik,2
20,2022,NATA,GESW,PRUEFBESTN,SF087,Körperbehindertenpädagogik (ab 2016 zu SF190),0
21,2019,NATD,GESM,PRUEFBESTJ,SF061,Meliorationswesen,0
22,2022,NATA,GESM,PRUEFBESTJ,SF075,Holzwirtschaft,4
23,2020,NATA,GESM,PRUEFBESTJ,SF147,Sozialkunde,9
24,2020,NATA,GESM,PRUEFBESTN,SF290,Sonstige Fächer,0
25,2018,NATD,GESM,PRUEFBESTN,SF271,Deutsch als Fremdsprache oder als Zweitsprache,4
26,2018,NATD,GESM,PRUEFBESTJ,SF008,Anglistik/Englisch,1466
27,2018,NATD,GESW,PRUEFBESTJ,SF054,Film und Fernsehen,203
