,year,nationality,gender,subj_code,subj_name,number
0,2018,domestic,m,211,Kerntechnik/Kernverfahrenstechn.(ab 2020 zu SF211),0
1,2022,domestic,f,220,Milch- und Molkereiwirtschaft,3
2,2022,foreign,f,280,Kartografie,11
3,2023,foreign,m,086,"Katholische Theologie, - Religionslehre",32
4,2023,foreign,f,272,Alte Geschichte,2
5,2018,domestic,m,001,Ägyptologie,81
6,2019,domestic,m,233,Nichtärztliche Heilberufe/Therapien,370
7,2020,domestic,f,142,Schiffbau/Schiffstechnik,17
8,2022,foreign,f,040,"Interdisz. Studien (Schwerpunkt Kunst, Kunstwiss.)",81
9,2021,foreign,f,074,Transport-/Fördertechnik,0
10,2019,domestic,f,076,Hütten- und Gießereiwesen,6
11,2022,domestic,f,126,Pharmazie,1172
12,2023,foreign,f,032,Chemie,723
13,2019,foreign,m,173,Ethnologie,35
14,2023,domestic,m,026,Biologie,1952
15,2022,foreign,f,186,Lernbereich Naturwissenschaft/Sachunterricht,11
16,2023,foreign,f,178,Wirtschafts-/Sozialgeografie,0
17,2021,domestic,f,134,Raumplanung,253
18,2018,foreign,m,181,Wirtschaftspädagogik,13
19,2023,domestic,f,212,Feinwerktechnik,3
20,2020,domestic,f,048,Elektrotechnik/Elektronik,608
21,2021,domestic,m,282,Biotechnologie,636
22,2023,domestic,m,120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",44
23,2018,foreign,f,273,Mittlere und neuere Geschichte,7
24,2023,domestic,f,119,Niederländisch,15
25,2022,domestic,m,033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,544
26,2018,foreign,m,190,Körperbehindertenpädagogik (ab 2016 zu SF190),0
27,2021,foreign,m,231,Druck- und Reproduktionstechnik,26
28,2019,domestic,f,075,Holzwirtschaft,4
29,2023,domestic,m,266,Finanzverwaltung,310
30,2022,foreign,m,104,Maschinenbau/-wesen,2695
31,2019,foreign,f,266,Finanzverwaltung,1
32,2021,domestic,m,188,Allgemeine Literaturwissenschaft,53
33,2018,foreign,f,429,Stahlbau,0
34,2022,foreign,m,094,Wasserbau,27
35,2023,foreign,m,085,Japanologie,21
36,2022,domestic,m,429,Stahlbau,0
37,2018,foreign,f,033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,160
38,2018,domestic,m,148,Sozialwissenschaften,1024
39,2019,foreign,f,026,Biologie,1045
40,2020,foreign,f,082,Holz-/Fasertechnik,1
41,2020,foreign,m,146,Slawistik (Slawische Philologie),18
42,2018,domestic,f,084,Italienisch,101
43,2019,foreign,f,120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",15
44,2020,domestic,m,195,Gesundheitspädagogik,169
45,2021,domestic,m,042,Wirtschaftsrecht,839
46,2020,domestic,m,205,Bildhauerei/Plastik,6
47,2019,domestic,m,139,Russisch,15
48,2022,domestic,m,273,Mittlere und neuere Geschichte,17
49,2021,foreign,m,137,"Romanistik (Roman.Philologie,Einzelsprach. a.n.g.)",40
50,2018,foreign,f,179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,258
51,2023,domestic,f,211,Energieverfahrenstechnik,65
52,2018,domestic,m,242,Innenarchitektur,55
53,2022,domestic,f,365,Pädagogik der frühen Kindheit,586
54,2021,foreign,m,139,Russisch,6
55,2019,domestic,m,232,Gesundheitswissenschaften/-management,1537
56,2018,foreign,m,180,Kaukasistik,0
57,2020,domestic,f,143,Augenoptik,96
58,2019,foreign,f,190,Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190),0
59,2021,foreign,f,073,Judaistik/Hebräisch,6
60,2018,domestic,m,002,Afrikanistik,44
61,2023,domestic,f,117,Ausländerpädagogik,3
62,2022,domestic,m,035,Darstellende Kunst/Bühnenkunst/Regie,18
63,2022,foreign,f,185,Zahnmedizin,134
64,2023,foreign,f,429,Stahlbau,0
65,2023,foreign,f,273,Mittlere und neuere Geschichte,4
66,2019,domestic,f,077,Wasserwirtschaft,44
67,2018,foreign,m,086,"Katholische Theologie, - Religionslehre",52
68,2019,foreign,m,172,Verwaltungswissenschaft/-wesen,43
69,2023,domestic,m,190,Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190),0
70,2020,domestic,f,049,Interdisz. Studien (Schwerp. Naturwissenschaften),399
71,2021,domestic,f,135,Rechtswissenschaft,7620
72,2022,domestic,f,125,Agrarökonomie,57
73,2023,foreign,f,033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,204
74,2018,domestic,f,333,Haushaltswissenschaft,38
75,2023,domestic,m,361,Schulpädagogik,1
76,2023,foreign,f,179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,208
77,2020,domestic,m,194,Tonmeister,46
78,2019,foreign,m,079,Informatik,3950
79,2020,domestic,m,204,Malerei,16
80,2021,foreign,m,232,Gesundheitswissenschaften/-management,179
81,2023,domestic,m,121,Medieninformatik,869
82,2020,foreign,m,385,Geoökologie,7
83,2019,foreign,f,361,Schulpädagogik,11
84,2023,domestic,f,118,Technomathematik,69
85,2022,domestic,m,034,Dänisch,5
86,2019,domestic,m,138,Agrarbiologie,82
87,2023,foreign,m,084,Italienisch,20
88,2018,foreign,f,034,Dänisch,1
89,2020,foreign,f,083,Islamwissenschaft,16
90,2020,foreign,m,145,Sinologie/Koreanistik,31
91,2018,domestic,m,003,Agrarwissenschaft/Landwirtschaft,1136
92,2019,foreign,f,121,Medieninformatik,160
93,2018,foreign,f,274,Tourismuswirtschaft,329
94,2022,foreign,m,105,Mathematik,623
95,2021,domestic,m,187,Asiatische Sprachen u.Kulturen/Asienwissenschaften,37
96,2022,foreign,m,095,Latein,4
97,2022,domestic,m,274,Tourismuswirtschaft,345
98,2021,foreign,m,138,Agrarbiologie,65
99,2018,domestic,m,149,Soziologie,735
100,2018,domestic,f,083,Islamwissenschaft,99
101,2021,domestic,m,041,Sonstiges Orientierungsstudium,6
102,2019,domestic,f,190,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0
103,2020,foreign,f,333,Haushaltswissenschaft,0
104,2018,domestic,m,385,Geoökologie,68
105,2023,foreign,m,088,Optoelektronik,4
106,2023,domestic,f,210,Verkehrswirtschaft,46
107,2022,foreign,m,008,Anglistik/Englisch,326
108,2021,foreign,f,190,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0
109,2018,domestic,m,145,Sinologie/Koreanistik,93
110,2022,foreign,f,282,Biotechnologie,439
111,2018,domestic,f,086,"Katholische Theologie, - Religionslehre",387
112,2021,domestic,f,230,Gesang,25
113,2021,domestic,f,136,Religionswissenschaft,50
114,2023,foreign,f,274,Tourismuswirtschaft,192
115,2018,foreign,m,085,Japanologie,34
116,2023,domestic,f,116,Textilgestaltung,251
117,2020,domestic,f,144,Technische Kybernetik,11
118,2022,domestic,m,036,Sonstige Regionalwissenschaften,17
119,2022,foreign,f,042,Wirtschaftsrecht,167
120,2023,domestic,m,268,Verkehrswesen,0
121,2021,foreign,f,076,Hütten- und Gießereiwesen,17
122,2019,domestic,f,078,Indologie,14
123,2022,domestic,f,124,Ozeanografie,0
124,2023,foreign,f,034,Dänisch,0
125,2019,foreign,m,171,Vermessungswesen (Geodäsie),187
126,2023,domestic,m,028,Brauwesen/Getränketechnologie,66
