,year,subj_grp_code,subj_grp_name,gender,number
0,2018,SB-NATW-08,Geowissenschaften (ohne Geographie),m,2069
1,2018,SB-KUNSTW-03,Gestaltung,m,917
2,2021,SB-NATW-05,Chemie,f,3565
3,2022,SB-KUNSTW-04,"Darstellende Kunst, Film u.Fernsehen, Theaterwiss.",m,370
4,2020,SB-INGW-09,Vermessungswesen,m,442
5,2022,HRZ-01,Hochschulrechenzentrum,m,854
6,2019,SB-KUNSTW-03,Gestaltung,f,641
7,2018,SB-NATW-01,"Mathematik, Naturwissenschaften allgemein",f,276
8,2018,KL-ZD-01,"Kliniken insgesamt, Zentrale Dienste",f,787
9,2020,SB-NATW-06,Pharmazie,f,735
10,2022,THEOL-KT-01,Katholische Theologie,m,573
11,2021,SB-RWSW-05,Sozialwesen,m,1045
12,2020,SB-INGW-02,"Bergbau, Hüttenwesen",f,133
13,2019,EINR-WISS-01,Zentrale wissenschaftliche Einrichtungen,f,3810
14,2020,MEDHUM-KP-01,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),f,24088
15,2019,SB-NATW-07,Biologie,m,5052
16,2022,SF013,Architektur,m,1663
17,2020,SB-SKW-09,"Germanistik (Deutsch, germ. Sprachen o. Anglistik)",m,1389
18,2021,SB-AGRW-01,"Landespflege, Umweltgestaltung",f,257
19,2020,SB-AGRW-03,"Forstwissenschaft, Holzwirtschaft",f,259
20,2019,SB-AGRW-03,"Forstwissenschaft, Holzwirtschaft",m,469
21,2019,KL-EINR-AUSB-01,Übrige Ausbildungseinrichtungen der Kliniken,f,89
22,2018,SB-INGW-04,Elektro- und Informationstechnik,m,7818
23,2022,SB-SKW-01,Geisteswissenschaften allgemein,f,522
24,2022,SB-RWSW-10,Psychologie,f,3586
25,2022,SKW-SONST-01,Sonstige Sprach- und Kulturwissenschaften,m,709
26,2019,MEDHUM-VK-01,Vorklinische Humanmedizin (einschl. Zahnmedizin),m,2166
27,2020,MEDHUM-ALLG-01,Humanmedizin allgemein,f,442
28,2023,FACHGR-INGW-01,Ingenieurwissenschaften allgemein,m,1914
29,2021,SB-INGW-08,Bauingenieurwesen,m,3572
30,2018,FACHGR-INGW-01,Ingenieurwissenschaften allgemein,f,590
31,2021,SB-MEDHUM-01,Gesundheitswissenschaften,m,823
32,2023,SB-KUNSTW-04,"Darstellende Kunst, Film u.Fernsehen, Theaterwiss.",f,427
33,2019,HRZ-01,Hochschulrechenzentrum,f,213
34,2022,KL-EINR-AUSB-01,Übrige Ausbildungseinrichtungen der Kliniken,m,49
35,2021,PHIL-KLASS-01,Altphilologie (klassische Philologie),m,287
36,2020,SB-SKW-01,Geisteswissenschaften allgemein,f,549
37,2021,SB-RWSW-12,Kommunikationswissenschaft/Publizistik,f,410
38,2019,SB-SKW-09,"Germanistik (Deutsch, germ. Sprachen o. Anglistik)",m,1389
39,2021,SB-SKW-01,Geisteswissenschaften allgemein,f,536
40,2018,SB-SKW-09,"Germanistik (Deutsch, germ. Sprachen o. Anglistik)",m,1384
41,2022,SB-INGW-07,Raumplanung,m,367
42,2018,SKW-SONST-01,Sonstige Sprach- und Kulturwissenschaften,m,709
43,2023,SB-RWSW-02,Regionalwissenschaften,m,78
44,2023,SB-NATW-02,Mathematik,f,1704
