,year,subj_grp_code,subj_grp_name,gender,number
0,2018,SB-NATW-08,Geowissenschaften (ohne Geographie),GESM,2069
1,2018,SB-KUNSTW-03,Gestaltung,GESM,917
2,2021,SB-NATW-05,Chemie,GESW,3565
3,2022,SB-KUNSTW-04,"Darstellende Kunst, Film u.Fernsehen, Theaterwiss.",GESM,370
4,2020,SB-INGW-09,Vermessungswesen,GESM,442
5,2022,HRZ-01,Hochschulrechenzentrum,GESM,854
6,2019,SB-KUNSTW-03,Gestaltung,GESW,641
7,2018,SB-NATW-01,"Mathematik, Naturwissenschaften allgemein",GESW,276
8,2018,KL-ZD-01,"Kliniken insgesamt, Zentrale Dienste",GESW,787
9,2020,SB-NATW-06,Pharmazie,GESW,735
10,2022,THEOL-KT-01,Katholische Theologie,GESM,573
11,2021,SB-RWSW-05,Sozialwesen,GESM,1045
12,2020,SB-INGW-02,"Bergbau, Hüttenwesen",GESW,133
13,2019,EINR-WISS-01,Zentrale wissenschaftliche Einrichtungen,GESW,3810
14,2020,MEDHUM-KP-01,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),GESW,24088
15,2019,SB-NATW-07,Biologie,GESM,5052
16,2022,SF013,Architektur,GESM,1663
17,2020,SB-SKW-09,"Germanistik (Deutsch, germ. Sprachen o. Anglistik)",GESM,1389
18,2021,SB-AGRW-01,"Landespflege, Umweltgestaltung",GESW,257
19,2020,SB-AGRW-03,"Forstwissenschaft, Holzwirtschaft",GESW,259
20,2019,SB-AGRW-03,"Forstwissenschaft, Holzwirtschaft",GESM,469
21,2019,KL-EINR-AUSB-01,Übrige Ausbildungseinrichtungen der Kliniken,GESW,89
22,2018,SB-INGW-04,Elektro- und Informationstechnik,GESM,7818
23,2022,SB-SKW-01,Geisteswissenschaften allgemein,GESW,522
24,2022,SB-RWSW-10,Psychologie,GESW,3586
25,2022,SKW-SONST-01,Sonstige Sprach- und Kulturwissenschaften,GESM,709
26,2019,MEDHUM-VK-01,Vorklinische Humanmedizin (einschl. Zahnmedizin),GESM,2166
27,2020,MEDHUM-ALLG-01,Humanmedizin allgemein,GESW,442
28,2023,FACHGR-INGW-01,Ingenieurwissenschaften allgemein,GESM,1914
29,2021,SB-INGW-08,Bauingenieurwesen,GESM,3572
30,2018,FACHGR-INGW-01,Ingenieurwissenschaften allgemein,GESW,590
31,2021,SB-MEDHUM-01,Gesundheitswissenschaften,GESM,823
32,2023,SB-KUNSTW-04,"Darstellende Kunst, Film u.Fernsehen, Theaterwiss.",GESW,427
33,2019,HRZ-01,Hochschulrechenzentrum,GESW,213
34,2022,KL-EINR-AUSB-01,Übrige Ausbildungseinrichtungen der Kliniken,GESM,49
35,2021,PHIL-KLASS-01,Altphilologie (klassische Philologie),GESM,287
36,2020,SB-SKW-01,Geisteswissenschaften allgemein,GESW,549
37,2021,SB-RWSW-12,Kommunikationswissenschaft/Publizistik,GESW,410
38,2019,SB-SKW-09,"Germanistik (Deutsch, germ. Sprachen o. Anglistik)",GESM,1389
39,2021,SB-SKW-01,Geisteswissenschaften allgemein,GESW,536
40,2018,SB-SKW-09,"Germanistik (Deutsch, germ. Sprachen o. Anglistik)",GESM,1384
41,2022,SB-INGW-07,Raumplanung,GESM,367
42,2018,SKW-SONST-01,Sonstige Sprach- und Kulturwissenschaften,GESM,709
43,2023,SB-RWSW-02,Regionalwissenschaften,GESM,78
44,2023,SB-NATW-02,Mathematik,GESW,1704
45,2020,SB-RWSW-12,Kommunikationswissenschaft/Publizistik,GESW,361
46,2021,SB-RWSW-11,Erziehungswissenschaften,GESW,4371
47,2023,EINR-SOZ-01,Soziale Einrichtungen,GESM,9
48,2020,MEDVET-ALLG-01,Veterinärmedizin allgemein,GESM,0
49,2023,EINR-VERS-01,Zentrale Betriebs- und Versorgungseinrichtungen,GESW,129
50,2022,EINR-KLFRMD-02,Mit der Klinik verbundene u.klinikfremde Einricht.,GESM,25
51,2020,SB-AGRW-02,"Agrarwissensch., Lebensmittel- u. Getränketechnik",GESW,1328
52,2022,KL-ZD-01,"Kliniken insgesamt, Zentrale Dienste",GESM,1058
53,2018,MEDHUM-KT-01,Klinisch-theor. Humanmedizin (einschl.Zahnmedizin),GESW,5421
54,2018,MEDHUM-ALLG-01,Humanmedizin allgemein,GESM,332
55,2019,MEDZN-KP-01,Zahnmedizin (klinisch-praktisch),GESM,1083
56,2022,MEDHUM-KT-01,Klinisch-theor. Humanmedizin (einschl.Zahnmedizin),GESW,6878
57,2022,SB-INGW-12,Informatik,GESW,2665
58,2021,FACHGR-RWSW-01,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",GESW,325
59,2020,AFEW-ALLG-01,"Agrar-, Forst- und Ernährungswissenschaften allg.",GESW,86
60,2022,SB-RWSW-04,Sozialwissenschaften/Soziologie,GESM,1534
61,2022,SB-MEDHUM-01,Gesundheitswissenschaften,GESW,1569
62,2019,SB-KUNSTW-02,Bildende Kunst,GESW,324
63,2018,SB-AGRW-04,Ernährungs- und Haushaltswissenschaften,GESM,191
64,2023,SB-INGW-05,"Verkehrstechnik, Nautik",GESM,2172
