,year,subj_grp_code,subj_grp_name,gender,number
0,2021,FACHGR-SPR,Sport,GESM,212
1,2020,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESW,6
2,2022,FACHGR-AGRW,"Agrar-, Forst- und Ernährungswissenschaften",GESW,0
3,2023,FACHGR-MEDVET,Veterinärmedizin,GESW,0
4,2021,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESM,435
5,2021,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESM,10161
6,2019,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESM,9969
7,2021,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESW,1392
8,2022,FACHGR-INGW,Ingenieurwissenschaften,GESM,11099
9,2018,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESW,4369
10,2020,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESW,4743
11,2019,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESW,1286
12,2022,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESW,1462
13,2020,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESM,3487
14,2018,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESM,886
15,2019,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESM,459
16,2018,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESW,1278
17,2020,FACHGR-SKW,Geisteswissenschaften,GESM,2809
18,2022,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESM,5070
19,2023,FACHGR-AGRW,"Agrar-, Forst- und Ernährungswissenschaften",GESW,0
20,2018,FACHGR-SPR,Sport,GESM,209
21,2022,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESW,220
22,2019,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESW,6
23,2019,FACHGR-MEDVET,Veterinärmedizin,GESW,0
24,2020,FACHGR-INGW,Ingenieurwissenschaften,GESW,1821
25,2023,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESM,5077
26,2021,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESM,826
27,2023,FACHGR-SKW,Geisteswissenschaften,GESW,2057
28,2022,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESM,826
29,2023,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESW,218
30,2018,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESW,7
31,2019,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESW,1320
32,2021,FACHGR-SKW,Geisteswissenschaften,GESW,1967
33,2021,FACHGR-INGW,Ingenieurwissenschaften,GESW,1912
34,2018,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESM,484
35,2022,FACHGR-SKW,Geisteswissenschaften,GESM,2742
36,2020,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESM,10091
37,2018,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESM,9927
38,2018,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESM,26
39,2020,FACHGR-AGRW,"Agrar-, Forst- und Ernährungswissenschaften",GESM,0
40,2020,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESM,427
41,2023,FACHGR-SPR,Sport,GESM,220
42,2022,FACHGR-ZE-01,Zentr.Einrichtungen (o. klinikspez. Einrichtungen),GESM,444
43,2019,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESM,2445
44,2022,FACHGR-MEDVET,Veterinärmedizin,GESW,0
45,2023,FACHGR-MEDHUM,Humanmedizin/Gesundheitswissenschaften,GESW,1508
46,2018,FACHGR-AGRW,"Agrar-, Forst- und Ernährungswissenschaften",GESM,0
47,2023,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESM,2461
48,2019,FACHGR-SPR,Sport,GESW,73
49,2019,FACHGR-AGRVET,"Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin",GESM,837
50,2023,FACHGR-INGW,Ingenieurwissenschaften,GESM,11140
51,2019,FACHGR-AGRW,"Agrar-, Forst- und Ernährungswissenschaften",GESW,0
52,2019,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESW,4558
53,2018,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESM,5179
54,2020,FACHGR-INGW,Ingenieurwissenschaften,GESM,10919
55,2023,FACHGR-AGRW,"Agrar-, Forst- und Ernährungswissenschaften",GESM,0
56,2018,FACHGR-SKW,Geisteswissenschaften,GESW,1797
57,2018,FACHGR-INGW,Ingenieurwissenschaften,GESW,1604
58,2019,FACHGR-SKW,Geisteswissenschaften,GESM,2854
59,2019,FACHGR-NATW,"Mathematik, Naturwissenschaften",GESM,5170
60,2021,FACHGR-INGW,Ingenieurwissenschaften,GESM,10970
61,2022,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESM,2489
62,2021,FACHGR-AGRW,"Agrar-, Forst- und Ernährungswissenschaften",GESM,0
63,2021,FACHGR-SKW,Geisteswissenschaften,GESM,2763
64,2022,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESM,10262
65,2020,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESM,2467
66,2021,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESM,2497
67,2022,FACHGR-AGRW,"Agrar-, Forst- und Ernährungswissenschaften",GESM,0
68,2022,FACHGR-SPR,Sport,GESW,85
69,2021,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESM,43
70,2020,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESM,30
71,2023,FACHGR-RWSW,"Rechts-, Wirtschafts- und Sozialwissenschaften",GESM,10311
72,2020,FACHGR-SKW,Geisteswissenschaften,GESW,1884
73,2019,FACHGR-INGW,Ingenieurwissenschaften,GESW,1706
74,2022,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESM,39
75,2023,FACHGR-ZE-02,Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.),GESM,39
76,2020,FACHGR-KUNSTW,"Kunst, Kunstwissenschaft",GESW,1354
