,year,nationality,gender,subj_code,subj_name,number,subgroup
0,2018,NATD,GESM,SF241,Kerntechnik/Kernverfahrenstechn.(ab 2020 zu SF211),3,stud_all
1,2022,NATD,GESW,SF220,Milch- und Molkereiwirtschaft,21,stud_all
2,2022,NATA,GESW,SF280,Kartografie,44,stud_all
3,2023,NATA,GESM,SF086,"Katholische Theologie, - Religionslehre",407,stud_all
4,2023,NATA,GESW,SF272,Alte Geschichte,18,stud_all
5,2018,NATD,GESM,SF001,Ägyptologie,252,stud_all
6,2019,NATD,GESM,SF233,Nichtärztliche Heilberufe/Therapien,2275,stud_all
7,2020,NATD,GESW,SF142,Schiffbau/Schiffstechnik,97,stud_all
8,2022,NATA,GESW,SF040,"Interdisz. Studien (Schwerpunkt Kunst, Kunstwiss.)",254,stud_all
9,2021,NATA,GESW,SF074,Transport-/Fördertechnik,9,stud_all
10,2019,NATD,GESW,SF076,Hütten- und Gießereiwesen,145,stud_all
11,2022,NATD,GESW,SF126,Pharmazie,9219,stud_all
12,2023,NATA,GESW,SF032,Chemie,3874,stud_all
13,2019,NATA,GESM,SF173,Ethnologie,215,stud_all
14,2023,NATD,GESM,SF026,Biologie,16259,stud_all
15,2022,NATA,GESW,SF186,Lernbereich Naturwissenschaft/Sachunterricht,89,stud_all
16,2023,NATA,GESW,SF178,Wirtschafts-/Sozialgeografie,14,stud_all
17,2021,NATD,GESW,SF134,Raumplanung,2483,stud_all
18,2018,NATA,GESM,SF181,Wirtschaftspädagogik,101,stud_all
19,2023,NATD,GESW,SF212,Feinwerktechnik,45,stud_all
20,2020,NATD,GESW,SF048,Elektrotechnik/Elektronik,4909,stud_all
21,2021,NATD,GESM,SF282,Biotechnologie,4564,stud_all
22,2023,NATD,GESM,SF120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",258,stud_all
23,2018,NATA,GESW,SF273,Mittlere und neuere Geschichte,47,stud_all
24,2023,NATD,GESW,SF119,Niederländisch,142,stud_all
25,2022,NATD,GESM,SF033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,4365,stud_all
26,2018,NATA,GESM,SF087,Körperbehindertenpädagogik (ab 2016 zu SF190),0,stud_all
27,2021,NATA,GESM,SF231,Druck- und Reproduktionstechnik,113,stud_all
28,2019,NATD,GESW,SF075,Holzwirtschaft,59,stud_all
29,2023,NATD,GESM,SF266,Finanzverwaltung,977,stud_all
30,2022,NATA,GESM,SF104,Maschinenbau/-wesen,17725,stud_all
31,2019,NATA,GESW,SF266,Finanzverwaltung,2,stud_all
32,2021,NATD,GESM,SF188,Allgemeine Literaturwissenschaft,791,stud_all
33,2018,NATA,GESW,SF429,Stahlbau,0,stud_all
34,2022,NATA,GESM,SF094,Wasserbau,201,stud_all
35,2023,NATA,GESM,SF085,Japanologie,143,stud_all
36,2022,NATD,GESM,SF429,Stahlbau,47,stud_all
37,2018,NATA,GESW,SF033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,802,stud_all
38,2018,NATD,GESM,SF148,Sozialwissenschaften,8179,stud_all
39,2019,NATA,GESW,SF026,Biologie,4726,stud_all
40,2020,NATA,GESW,SF082,Holz-/Fasertechnik,9,stud_all
41,2020,NATA,GESM,SF146,Slawistik (Slawische Philologie),94,stud_all
42,2018,NATD,GESW,SF084,Italienisch,673,stud_all
43,2019,NATA,GESW,SF120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",93,stud_all
44,2020,NATD,GESM,SF195,Gesundheitspädagogik,1082,stud_all
45,2021,NATD,GESM,SF042,Wirtschaftsrecht,8323,stud_all
46,2020,NATD,GESM,SF205,Bildhauerei/Plastik,105,stud_all
47,2019,NATD,GESM,SF139,Russisch,216,stud_all
48,2022,NATD,GESM,SF273,Mittlere und neuere Geschichte,366,stud_all
49,2021,NATA,GESM,SF137,"Romanistik (Roman.Philologie,Einzelsprach. a.n.g.)",206,stud_all
50,2018,NATA,GESW,SF179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,1529,stud_all
51,2023,NATD,GESW,SF211,Energieverfahrenstechnik,823,stud_all
52,2018,NATD,GESM,SF242,Innenarchitektur,409,stud_all
53,2022,NATD,GESW,SF365,Pädagogik der frühen Kindheit,3197,stud_all
54,2021,NATA,GESM,SF139,Russisch,36,stud_all
55,2019,NATD,GESM,SF232,Gesundheitswissenschaften/-management,12263,stud_all
56,2018,NATA,GESM,SF180,Kaukasistik,0,stud_all
57,2020,NATD,GESW,SF143,Augenoptik,508,stud_all
58,2019,NATA,GESW,SF027,Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190),0,stud_all
59,2021,NATA,GESW,SF073,Judaistik/Hebräisch,66,stud_all
60,2018,NATD,GESM,SF002,Afrikanistik,395,stud_all
61,2023,NATD,GESW,SF117,Ausländerpädagogik,90,stud_all
