,acyear,nationality,gender,subj_code,subj_name,stud_count
0,2018,NATD,GESM,SF241,Kerntechnik/Kernverfahrenstechn.(ab 2020 zu SF211),0
1,2022,NATD,GESW,SF220,Milch- und Molkereiwirtschaft,3
2,2022,NATA,GESW,SF280,Kartografie,11
3,2023,NATA,GESM,SF086,"Katholische Theologie, - Religionslehre",32
4,2023,NATA,GESW,SF272,Alte Geschichte,2
5,2018,NATD,GESM,SF001,Ägyptologie,81
6,2019,NATD,GESM,SF233,Nichtärztliche Heilberufe/Therapien,370
7,2020,NATD,GESW,SF142,Schiffbau/Schiffstechnik,17
8,2022,NATA,GESW,SF040,"Interdisz. Studien (Schwerpunkt Kunst, Kunstwiss.)",81
9,2021,NATA,GESW,SF074,Transport-/Fördertechnik,0
10,2019,NATD,GESW,SF076,Hütten- und Gießereiwesen,6
11,2022,NATD,GESW,SF126,Pharmazie,1172
12,2023,NATA,GESW,SF032,Chemie,723
13,2019,NATA,GESM,SF173,Ethnologie,35
14,2023,NATD,GESM,SF026,Biologie,1952
15,2022,NATA,GESW,SF186,Lernbereich Naturwissenschaft/Sachunterricht,11
16,2023,NATA,GESW,SF178,Wirtschafts-/Sozialgeografie,0
17,2021,NATD,GESW,SF134,Raumplanung,253
18,2018,NATA,GESM,SF181,Wirtschaftspädagogik,13
19,2023,NATD,GESW,SF212,Feinwerktechnik,3
20,2020,NATD,GESW,SF048,Elektrotechnik/Elektronik,608
21,2021,NATD,GESM,SF282,Biotechnologie,636
22,2023,NATD,GESM,SF120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",44
23,2018,NATA,GESW,SF273,Mittlere und neuere Geschichte,7
24,2023,NATD,GESW,SF119,Niederländisch,15
25,2022,NATD,GESM,SF033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,544
26,2018,NATA,GESM,SF087,Körperbehindertenpädagogik (ab 2016 zu SF190),0
27,2021,NATA,GESM,SF231,Druck- und Reproduktionstechnik,26
28,2019,NATD,GESW,SF075,Holzwirtschaft,4
29,2023,NATD,GESM,SF266,Finanzverwaltung,310
30,2022,NATA,GESM,SF104,Maschinenbau/-wesen,2695
31,2019,NATA,GESW,SF266,Finanzverwaltung,1
32,2021,NATD,GESM,SF188,Allgemeine Literaturwissenschaft,53
