,year,nationality,gender,subj_code,subj_name,number
0,2018,NATD,GESM,SF241,Kerntechnik/Kernverfahrenstechn.(ab 2020 zu SF211),3
1,2022,NATD,GESW,SF220,Milch- und Molkereiwirtschaft,21
2,2022,NATA,GESW,SF280,Kartografie,44
3,2023,NATA,GESM,SF086,"Katholische Theologie, - Religionslehre",407
4,2023,NATA,GESW,SF272,Alte Geschichte,18
5,2018,NATD,GESM,SF001,Ägyptologie,252
6,2019,NATD,GESM,SF233,Nichtärztliche Heilberufe/Therapien,2275
7,2020,NATD,GESW,SF142,Schiffbau/Schiffstechnik,97
8,2022,NATA,GESW,SF040,"Interdisz. Studien (Schwerpunkt Kunst, Kunstwiss.)",254
9,2021,NATA,GESW,SF074,Transport-/Fördertechnik,9
10,2019,NATD,GESW,SF076,Hütten- und Gießereiwesen,145
11,2022,NATD,GESW,SF126,Pharmazie,9219
12,2023,NATA,GESW,SF032,Chemie,3874
13,2019,NATA,GESM,SF173,Ethnologie,215
14,2023,NATD,GESM,SF026,Biologie,16259
15,2022,NATA,GESW,SF186,Lernbereich Naturwissenschaft/Sachunterricht,89
16,2023,NATA,GESW,SF178,Wirtschafts-/Sozialgeografie,14
17,2021,NATD,GESW,SF134,Raumplanung,2483
18,2018,NATA,GESM,SF181,Wirtschaftspädagogik,101
19,2023,NATD,GESW,SF212,Feinwerktechnik,45
20,2020,NATD,GESW,SF048,Elektrotechnik/Elektronik,4909
21,2021,NATD,GESM,SF282,Biotechnologie,4564
22,2023,NATD,GESM,SF120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",258
23,2018,NATA,GESW,SF273,Mittlere und neuere Geschichte,47
24,2023,NATD,GESW,SF119,Niederländisch,142
25,2022,NATD,GESM,SF033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,4365
26,2018,NATA,GESM,SF087,Körperbehindertenpädagogik (ab 2016 zu SF190),0
27,2021,NATA,GESM,SF231,Druck- und Reproduktionstechnik,113
28,2019,NATD,GESW,SF075,Holzwirtschaft,59
29,2023,NATD,GESM,SF266,Finanzverwaltung,977
30,2022,NATA,GESM,SF104,Maschinenbau/-wesen,17725
31,2019,NATA,GESW,SF266,Finanzverwaltung,2
32,2021,NATD,GESM,SF188,Allgemeine Literaturwissenschaft,791
33,2018,NATA,GESW,SF429,Stahlbau,0
34,2022,NATA,GESM,SF094,Wasserbau,201
35,2023,NATA,GESM,SF085,Japanologie,143
36,2022,NATD,GESM,SF429,Stahlbau,47
37,2018,NATA,GESW,SF033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,802
38,2018,NATD,GESM,SF148,Sozialwissenschaften,8179
39,2019,NATA,GESW,SF026,Biologie,4726
40,2020,NATA,GESW,SF082,Holz-/Fasertechnik,9
41,2020,NATA,GESM,SF146,Slawistik (Slawische Philologie),94
42,2018,NATD,GESW,SF084,Italienisch,673
43,2019,NATA,GESW,SF120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",93
44,2020,NATD,GESM,SF195,Gesundheitspädagogik,1082
45,2021,NATD,GESM,SF042,Wirtschaftsrecht,8323
46,2020,NATD,GESM,SF205,Bildhauerei/Plastik,105
47,2019,NATD,GESM,SF139,Russisch,216
48,2022,NATD,GESM,SF273,Mittlere und neuere Geschichte,366
49,2021,NATA,GESM,SF137,"Romanistik (Roman.Philologie,Einzelsprach. a.n.g.)",206
50,2018,NATA,GESW,SF179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,1529
51,2023,NATD,GESW,SF211,Energieverfahrenstechnik,823
52,2018,NATD,GESM,SF242,Innenarchitektur,409
53,2022,NATD,GESW,SF365,Pädagogik der frühen Kindheit,3197
54,2021,NATA,GESM,SF139,Russisch,36
55,2019,NATD,GESM,SF232,Gesundheitswissenschaften/-management,12263
56,2018,NATA,GESM,SF180,Kaukasistik,0
57,2020,NATD,GESW,SF143,Augenoptik,508
58,2019,NATA,GESW,SF027,Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190),0
59,2021,NATA,GESW,SF073,Judaistik/Hebräisch,66
60,2018,NATD,GESM,SF002,Afrikanistik,395
61,2023,NATD,GESW,SF117,Ausländerpädagogik,90
62,2022,NATD,GESM,SF035,Darstellende Kunst/Bühnenkunst/Regie,383
63,2022,NATA,GESW,SF185,Zahnmedizin,1305
64,2023,NATA,GESW,SF429,Stahlbau,1
65,2023,NATA,GESW,SF273,Mittlere und neuere Geschichte,42
66,2019,NATD,GESW,SF077,Wasserwirtschaft,373
67,2018,NATA,GESM,SF086,"Katholische Theologie, - Religionslehre",483
68,2019,NATA,GESM,SF172,Verwaltungswissenschaft/-wesen,186
69,2023,NATD,GESM,SF027,Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190),0
70,2020,NATD,GESW,SF049,Interdisz. Studien (Schwerp. Naturwissenschaften),3531
71,2021,NATD,GESW,SF135,Rechtswissenschaft,62200
72,2022,NATD,GESW,SF125,Agrarökonomie,498
73,2023,NATA,GESW,SF033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,926
74,2018,NATD,GESW,SF333,Haushaltswissenschaft,150
75,2023,NATD,GESM,SF361,Schulpädagogik,142
76,2023,NATA,GESW,SF179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,1231
77,2020,NATD,GESM,SF194,Tonmeister,388
78,2019,NATA,GESM,SF079,Informatik,18687
79,2020,NATD,GESM,SF204,Malerei,173
80,2021,NATA,GESM,SF232,Gesundheitswissenschaften/-management,944
81,2023,NATD,GESM,SF121,Medieninformatik,9384
82,2020,NATA,GESM,SF385,Geoökologie,55
83,2019,NATA,GESW,SF361,Schulpädagogik,52
84,2023,NATD,GESW,SF118,Technomathematik,537
85,2022,NATD,GESM,SF034,Dänisch,20
86,2019,NATD,GESM,SF138,Agrarbiologie,330
87,2023,NATA,GESM,SF084,Italienisch,76
88,2018,NATA,GESW,SF034,Dänisch,1
89,2020,NATA,GESW,SF083,Islamwissenschaft,180
90,2020,NATA,GESM,SF145,Sinologie/Koreanistik,175
91,2018,NATD,GESM,SF003,Agrarwissenschaft/Landwirtschaft,7645
92,2019,NATA,GESW,SF121,Medieninformatik,842
93,2018,NATA,GESW,SF274,Tourismuswirtschaft,969
94,2022,NATA,GESM,SF105,Mathematik,3686
95,2021,NATD,GESM,SF187,Asiatische Sprachen u.Kulturen/Asienwissenschaften,415
96,2022,NATA,GESM,SF095,Latein,33
97,2022,NATD,GESM,SF274,Tourismuswirtschaft,1975
98,2021,NATA,GESM,SF138,Agrarbiologie,283
99,2018,NATD,GESM,SF149,Soziologie,6507
100,2018,NATD,GESW,SF083,Islamwissenschaft,1185
101,2021,NATD,GESM,SF041,Sonstiges Orientierungsstudium,6
102,2019,NATD,GESW,SF170,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0
103,2020,NATA,GESW,SF333,Haushaltswissenschaft,1
104,2018,NATD,GESM,SF385,Geoökologie,545
105,2023,NATA,GESM,SF088,Optoelektronik,80
106,2023,NATD,GESW,SF210,Verkehrswirtschaft,338
107,2022,NATA,GESM,SF008,Anglistik/Englisch,1517
108,2021,NATA,GESW,SF170,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0
109,2018,NATD,GESM,SF145,Sinologie/Koreanistik,951
110,2022,NATA,GESW,SF282,Biotechnologie,1930
111,2018,NATD,GESW,SF086,"Katholische Theologie, - Religionslehre",3888
112,2021,NATD,GESW,SF230,Gesang,454
113,2021,NATD,GESW,SF136,Religionswissenschaft,879
114,2023,NATA,GESW,SF274,Tourismuswirtschaft,879
115,2018,NATA,GESM,SF085,Japanologie,145
116,2023,NATD,GESW,SF116,Textilgestaltung,2027
117,2020,NATD,GESW,SF144,Technische Kybernetik,82
118,2022,NATD,GESM,SF036,Sonstige Regionalwissenschaften,119
119,2022,NATA,GESW,SF042,Wirtschaftsrecht,1258
120,2023,NATD,GESM,SF268,Verkehrswesen,0
121,2021,NATA,GESW,SF076,Hütten- und Gießereiwesen,112
122,2019,NATD,GESW,SF078,Indologie,88
123,2022,NATD,GESW,SF124,Ozeanografie,3
124,2023,NATA,GESW,SF034,Dänisch,2
125,2019,NATA,GESM,SF171,Vermessungswesen (Geodäsie),799
126,2023,NATD,GESM,SF028,Brauwesen/Getränketechnologie,369
127,2022,NATA,GESW,SF188,Allgemeine Literaturwissenschaft,508
128,2018,NATA,GESW,SF271,Deutsch als Fremdsprache oder als Zweitsprache,1649
129,2022,NATA,GESW,SF189,Niederdeutsch,0
130,2019,NATA,GESM,SF078,Indologie,19
131,2018,NATA,GESW,SF031,Byzantinistik,9
132,2023,NATD,GESM,SF122,"Orientalistik, Altorientalistik",332
133,2020,NATA,GESM,SF144,Technische Kybernetik,43
134,2020,NATD,GESM,SF197,Holzbau,590
135,2021,NATD,GESM,SF044,Ost- und Südosteuropa-Studien,139
136,2020,NATD,GESM,SF207,Sorabistik,4
137,2019,NATD,GESM,SF235,Fahrzeugtechnik,9662
138,2022,NATD,GESM,SF275,Wissenschaftsgeschichte/Technikgeschichte,22
139,2021,NATA,GESM,SF135,Rechtswissenschaft,3280
140,2018,NATA,GESW,SF177,Werkstofftechnik,501
141,2019,NATA,GESW,SF264,Sozialversicherung,61
142,2022,NATA,GESM,SF102,Schauspiel,62
143,2020,NATD,GESM,SF051,Erziehungsschwierigenpädagogik (ab 2016 zu SF190),0
144,2019,NATD,GESW,SF171,Vermessungswesen (Geodäsie),1328
145,2021,NATD,GESM,SF284,Angewandte Sprachwissenschaft,924
146,2022,NATA,GESM,SF092,"Kunstgeschichte, Kunstwissenschaft",219
147,2023,NATA,GESM,SF181,Wirtschaftspädagogik,73
148,2018,NATD,GESW,SF180,Kaukasistik,0
149,2019,NATA,GESW,SF024,Europäische Ethnologie und Kulturwissenschaft,478
150,2020,NATA,GESW,SF080,Instrumentalmusik,2549
151,2019,NATA,GESM,SF170,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0
152,2023,NATD,GESM,SF029,Sportwissenschaft,12335
153,2022,NATD,GESW,SF123,Ingenieurinformatik/Technische Informatik,1657
154,2021,NATD,GESW,SF231,Druck- und Reproduktionstechnik,719
155,2022,NATD,GESM,SF277,Wirtschaftsinformatik,45471
156,2023,NATA,GESM,SF087,Körperbehindertenpädagogik (ab 2016 zu SF190),0
157,2022,NATA,GESM,SF009,Anthropologie (Humanbiologie),74
158,2020,NATD,GESW,SF385,Geoökologie,797
159,2019,NATD,GESM,SF234,Pflegewissenschaft/-management,2705
160,2018,NATD,GESM,SF146,Slawistik (Slawische Philologie),392
161,2021,NATD,GESM,SF189,Niederdeutsch,1
162,2020,NATD,GESW,SF145,Sinologie/Koreanistik,1914
163,2023,NATD,GESM,SF123,Ingenieurinformatik/Technische Informatik,9064
164,2019,NATA,GESM,SF076,Hütten- und Gießereiwesen,287
165,2022,NATA,GESW,SF041,Sonstiges Orientierungsstudium,16
166,2021,NATA,GESW,SF075,Holzwirtschaft,18
167,2021,NATD,GESW,SF137,"Romanistik (Roman.Philologie,Einzelsprach. a.n.g.)",1565
168,2022,NATD,GESW,SF029,Sportwissenschaft,7649
169,2023,NATD,GESW,SF115,Grundschul-/Primärstufenpädagogik,8908
170,2022,NATD,GESM,SF037,Archiv- und Dokumentationswissenschaft,141
171,2023,NATD,GESM,SF269,Zoll- und Steuerverwaltung,2943
172,2022,NATA,GESW,SF187,Asiatische Sprachen u.Kulturen/Asienwissenschaften,458
173,2022,NATD,GESW,SF269,Zoll- und Steuerverwaltung,3990
174,2019,NATD,GESW,SF079,Informatik,17766
175,2023,NATA,GESW,SF275,Wissenschaftsgeschichte/Technikgeschichte,1
176,2018,NATA,GESM,SF084,Italienisch,87
177,2021,NATA,GESM,SF230,Gesang,280
178,2022,NATD,GESM,SF370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,39537
