statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-SPR;Sport;GES;Geschlecht;GESM;männlich;212;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-ZE-02;Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.);GES;Geschlecht;GESW;weiblich;6;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-AGRW;Agrar-, Forst- und Ernährungswissenschaften;GES;Geschlecht;GESW;weiblich;-;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-MEDVET;Veterinärmedizin;GES;Geschlecht;GESW;weiblich;-;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-ZE-01;Zentr.Einrichtungen (o. klinikspez. Einrichtungen);GES;Geschlecht;GESM;männlich;435;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-RWSW;Rechts-, Wirtschafts- und Sozialwissenschaften;GES;Geschlecht;GESM;männlich;10161;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-RWSW;Rechts-, Wirtschafts- und Sozialwissenschaften;GES;Geschlecht;GESM;männlich;9969;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-NATW;Mathematik, Naturwissenschaften;GES;Geschlecht;GESW;weiblich;1392;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-INGW;Ingenieurwissenschaften;GES;Geschlecht;GESM;männlich;11099;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-RWSW;Rechts-, Wirtschafts- und Sozialwissenschaften;GES;Geschlecht;GESW;weiblich;4369;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-RWSW;Rechts-, Wirtschafts- und Sozialwissenschaften;GES;Geschlecht;GESW;weiblich;4743;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;;Insgesamt;GES;Geschlecht;GESW;weiblich;12949;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-NATW;Mathematik, Naturwissenschaften;GES;Geschlecht;GESW;weiblich;1286;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-KUNSTW;Kunst, Kunstwissenschaft;GES;Geschlecht;GESW;weiblich;1462;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-MEDHUM;Humanmedizin/Gesundheitswissenschaften;GES;Geschlecht;GESM;männlich;3487;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-AGRVET;Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin;GES;Geschlecht;GESM;männlich;886;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-ZE-01;Zentr.Einrichtungen (o. klinikspez. Einrichtungen);GES;Geschlecht;GESM;männlich;459;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-KUNSTW;Kunst, Kunstwissenschaft;GES;Geschlecht;GESW;weiblich;1278;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-SKW;Geisteswissenschaften;GES;Geschlecht;GESM;männlich;2809;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-NATW;Mathematik, Naturwissenschaften;GES;Geschlecht;GESM;männlich;5070;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;;Insgesamt;GES;Geschlecht;GESW;weiblich;14326;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-AGRW;Agrar-, Forst- und Ernährungswissenschaften;GES;Geschlecht;GESW;weiblich;-;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-SPR;Sport;GES;Geschlecht;GESM;männlich;209;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-ZE-01;Zentr.Einrichtungen (o. klinikspez. Einrichtungen);GES;Geschlecht;GESW;weiblich;220;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-ZE-02;Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.);GES;Geschlecht;GESW;weiblich;6;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-MEDVET;Veterinärmedizin;GES;Geschlecht;GESW;weiblich;-;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-INGW;Ingenieurwissenschaften;GES;Geschlecht;GESW;weiblich;1821;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-NATW;Mathematik, Naturwissenschaften;GES;Geschlecht;GESM;männlich;5077;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-AGRVET;Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin;GES;Geschlecht;GESM;männlich;826;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-SKW;Geisteswissenschaften;GES;Geschlecht;GESW;weiblich;2057;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-AGRVET;Agrar-, Forst- u.Ernährungswiss., Veterinärmedizin;GES;Geschlecht;GESM;männlich;826;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-ZE-01;Zentr.Einrichtungen (o. klinikspez. Einrichtungen);GES;Geschlecht;GESW;weiblich;218;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-ZE-02;Zentr.Einricht.d.Hochschulkliniken (nur Humanmed.);GES;Geschlecht;GESW;weiblich;7;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-KUNSTW;Kunst, Kunstwissenschaft;GES;Geschlecht;GESW;weiblich;1320;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-SKW;Geisteswissenschaften;GES;Geschlecht;GESW;weiblich;1967;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-INGW;Ingenieurwissenschaften;GES;Geschlecht;GESW;weiblich;1912;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-ZE-01;Zentr.Einrichtungen (o. klinikspez. Einrichtungen);GES;Geschlecht;GESM;männlich;484;Anzahl;BIL050;Professoren
21341;Statistik des Hochschulpersonals;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;BILFG6;Fächergruppen;FACHGR-SKW;Geisteswissenschaften;GES;Geschlecht;GESM;männlich;2742;Anzahl;BIL050;Professoren
